"","month","EVENT_TYPE","STATE","CROPDMG","PROPDMG","FATALITIES","INJURIES","DMG","health_impact"
"93",1,"DENSE FOG","ME",0,0,0,24,0,24
"94",1,"DENSE FOG","NE",0,40000,0,0,40000,0
"95",1,"DENSE FOG","NY",0,0,0,2,0,2
"96",1,"DENSE FOG","OH",0,150000,0,0,150000,0
"97",1,"DENSE FOG","OR",0,10000,1,5,10000,6
"98",1,"DENSE FOG","UT",0,7e+05,2,15,7e+05,17
"99",1,"DENSE FOG","WA",0,140000,0,3,140000,3
"100",1,"DROUGHT","OK",750000,15775000,0,0,16525000,0
"101",1,"DROUGHT","TX",1040295000,8e+06,0,0,1048295000,0
"102",1,"DUST STORM","AZ",0,96000,2,46,96000,48
"103",1,"DUST STORM","CA",0,45000,0,0,45000,0
"104",1,"EXTREME COLD/WIND CHILL","AZ",0,1030000,0,0,1030000,0
"105",1,"EXTREME COLD/WIND CHILL","FL",17050000,0,1,0,17050000,1
"106",1,"EXTREME COLD/WIND CHILL","IA",0,750000,1,0,750000,1
"107",1,"EXTREME COLD/WIND CHILL","IL",0,0,27,1,0,28
"108",1,"EXTREME COLD/WIND CHILL","KY",0,0,0,1,0,1
"109",1,"EXTREME COLD/WIND CHILL","MI",0,0,1,0,0,1
"110",1,"EXTREME COLD/WIND CHILL","MN",0,5000,5,0,5000,5
"111",1,"EXTREME COLD/WIND CHILL","MS",0,0,1,0,0,1
"112",1,"EXTREME COLD/WIND CHILL","MT",0,0,1,0,0,1
"113",1,"EXTREME COLD/WIND CHILL","ND",0,0,2,0,0,2
"114",1,"EXTREME COLD/WIND CHILL","NE",0,0,2,2,0,4
"115",1,"EXTREME COLD/WIND CHILL","NJ",0,0,6,7,0,13
"116",1,"EXTREME COLD/WIND CHILL","NM",0,0,1,0,0,1
"117",1,"EXTREME COLD/WIND CHILL","NY",0,420000,7,0,420000,7
"118",1,"EXTREME COLD/WIND CHILL","OH",0,0,1,0,0,1
"119",1,"EXTREME COLD/WIND CHILL","OR",0,0,1,0,0,1
"120",1,"EXTREME COLD/WIND CHILL","PA",0,105000,11,1,105000,12
"121",1,"EXTREME COLD/WIND CHILL","SC",0,0,1,1,0,2
"122",1,"EXTREME COLD/WIND CHILL","SD",0,0,2,2,0,4
"123",1,"EXTREME COLD/WIND CHILL","TN",0,0,1,0,0,1
"124",1,"EXTREME COLD/WIND CHILL","VT",0,1e+05,0,0,1e+05,0
"125",1,"EXTREME COLD/WIND CHILL","WI",0,0,2,0,0,2
"126",1,"EXTREME COLD/WIND CHILL","WV",0,0,1,0,0,1
"127",1,"FLASH FLOOD","AL",252000,3486000,4,1,3738000,5
"128",1,"FLASH FLOOD","AR",0,8184300,2,0,8184300,2
"129",1,"FLASH FLOOD","AS",15000,1e+05,0,0,115000,0
"130",1,"FLASH FLOOD","AZ",0,6030000,1,0,6030000,1
"131",1,"FLASH FLOOD","CA",63500000,186423000,10,3,249923000,13
"132",1,"FLASH FLOOD","FL",0,1951000,0,0,1951000,0
"133",1,"FLASH FLOOD","GA",5000,12255400,0,2,12260400,2
"134",1,"FLASH FLOOD","HI",0,3836000,0,0,3836000,0
"135",1,"FLASH FLOOD","IL",0,919000,1,1,919000,2
"136",1,"FLASH FLOOD","IN",0,4625000,1,1,4625000,2
"137",1,"FLASH FLOOD","KY",0,2174000,1,1,2174000,2
"138",1,"FLASH FLOOD","LA",0,7896000,0,0,7896000,0
"139",1,"FLASH FLOOD","MD",0,11828000,0,1,11828000,1
"140",1,"FLASH FLOOD","MO",0,4141000,3,2,4141000,5
"141",1,"FLASH FLOOD","MS",0,9392500,1,0,9392500,1
"142",1,"FLASH FLOOD","NC",0,16307000,6,10,16307000,16
